
[09:30:10 PM] Log Level: Critical | $67c12efa-50c7-4b7f-bad5-d20cd7adb32a | Message: Water was detected - 0.0830078 | Local IP: 192.168.0.14 | External IP: 192.123.23.1


[09:36:50 PM] Log Level: Critical | $af470a2b-ea73-47eb-bd51-cff28468e861 | Message: Water was detected - 0.0390625 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[09:36:55 PM] Log Level: Critical | $b9be2683-6f34-47f6-8b4b-54327dcd537c | Message: Water was detected - 0.0390625 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[09:36:58 PM] Log Level: Critical | $5fc358ea-d83d-4ac9-acf4-e442e1775c09 | Message: Water was detected - 0.0732422 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[09:37:01 PM] Log Level: Critical | $de550dfe-08f9-457e-a29d-065462e2ab60 | Message: Water was detected - 0.0732422 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[09:37:03 PM] Log Level: Critical | $4f416316-9175-4413-859a-d718a6989f2f | Message: Water was detected - 0.0390625 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[09:37:06 PM] Log Level: Critical | $cd5957d8-0d95-4280-aff2-8ec3274abf3c | Message: Water was detected - 0.0390625 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[09:37:08 PM] Log Level: Critical | $df3566f7-7d85-4471-95a5-71e7de413e5b | Message: Water was detected - 0.0390625 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[09:37:11 PM] Log Level: Critical | $c98265e6-692a-434f-9d72-caab73c38c13 | Message: Water was detected - 0.0390625 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[09:37:13 PM] Log Level: Critical | $1fe741f9-7b9d-4f80-9959-9eaea91a88e1 | Message: Water was detected - 0.0488281 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[09:37:15 PM] Log Level: Critical | $8e3a5a69-44be-4207-8dd7-aa1165cfc01f | Message: Water was detected - 0.0390625 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[09:37:18 PM] Log Level: Critical | $8853c50d-b1ba-4962-a3d1-b5d33d875091 | Message: Water was detected - 0.0390625 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[09:37:20 PM] Log Level: Critical | $40b4aa1e-4270-4cb1-83b6-e25fe9ad2f6a | Message: Water was detected - 0.0390625 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[09:37:23 PM] Log Level: Critical | $863f34a6-b7f4-4e92-b1f6-2e5d8feb744f | Message: Water was detected - 0.0390625 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[09:37:26 PM] Log Level: Critical | $8c5bcb9d-6848-4ca5-899b-0a4493f69857 | Message: Water was detected - 0.0390625 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[09:37:28 PM] Log Level: Critical | $b0618d43-3996-4ab5-8f7f-b4d83579bd76 | Message: Water was detected - 0.0390625 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[09:37:31 PM] Log Level: Critical | $7fd14bac-a8fe-4097-ab0c-b1c29ee8e8eb | Message: Water was detected - 0.0390625 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[09:37:33 PM] Log Level: Critical | $58b414b8-3ace-4b86-b6c9-a8ba72e366ce | Message: Water was detected - 0.0390625 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[09:37:36 PM] Log Level: Critical | $3368bbb2-3b18-4e04-a514-cd188b298439 | Message: Water was detected - 0.0390625 | Local IP: 192.168.0.14 | External IP: 212.80.46.166

