
[08:08:59 PM] Log Level: Critical | $07b0f5de-1c6b-4a62-b026-de9100156ede | Message: Water was detected - 1.5625 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[08:09:02 PM] Log Level: Critical | $9533e567-de51-454e-b83b-d54ae8d04dcb | Message: Water was detected - 2.31445 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[08:09:07 PM] Log Level: Critical | $f29f5d9b-16a7-4375-9583-3bd4fadfdb11 | Message: Water was detected - 3.2373 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[08:09:09 PM] Log Level: Critical | $abb367ae-b5f2-4cda-910c-b1e38a71ba2d | Message: Water was detected - 1.15234 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[08:09:18 PM] Log Level: Critical | $d55d8575-935c-4a73-9df5-0a84632f4998 | Message: Water was detected - 5 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[08:09:21 PM] Log Level: Critical | $45a75dfd-28c4-4d31-92b9-91f2b2fde13b | Message: Water was detected - 5 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[08:12:14 PM] Log Level: Critical | $deececb4-2806-4d69-b9aa-3835cd567d2f | Message: Water was detected - 0.620117 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[08:12:16 PM] Log Level: Critical | $0f271e62-2f75-48ef-8efe-1a88b833cfcc | Message: Water was detected - 0.625 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[08:12:19 PM] Log Level: Critical | $85ea7302-653e-409e-83e7-defaa3588a1a | Message: Water was detected - 5 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[08:12:21 PM] Log Level: Critical | $d044e509-8586-4faf-b426-6f3578f98e03 | Message: Water was detected - 5 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[08:12:24 PM] Log Level: Critical | $d4f0a6d7-69c6-4471-b5c0-5d1e5d121c7f | Message: Water was detected - 0.561523 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[08:12:27 PM] Log Level: Critical | $60f3bb69-1020-4632-a110-5a70d1ca8792 | Message: Water was detected - 4.46777 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[08:13:36 PM] Log Level: Critical | $a361cc2e-a971-4189-ad88-e03fb4a0b9c2 | Message: Water was detected - 5 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[08:13:39 PM] Log Level: Critical | $2d3b1d24-2623-46b8-891d-c1da5a9c3345 | Message: Water was detected - 5 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[08:13:42 PM] Log Level: Critical | $90806f2c-bd9c-4446-9f44-e6d8da4505b5 | Message: Water was detected - 5 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[08:13:44 PM] Log Level: Critical | $deb339e2-7887-4b58-b00c-bf33acda3ce7 | Message: Water was detected - 5 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[08:13:47 PM] Log Level: Critical | $292765d1-5059-49b1-aabc-7a7456ca437e | Message: Water was detected - 5 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[08:13:49 PM] Log Level: Critical | $cfa0db77-e72e-42ff-8397-fc2104210be3 | Message: Water was detected - 5 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[08:13:52 PM] Log Level: Critical | $da31cf45-7669-4f74-8267-7c28be4916cf | Message: Water was detected - 1.50879 | Local IP: 192.168.0.14 | External IP: 212.80.46.166

