
[10:20:02 PM] Log Level: Critical | $a1a2f001-90db-487f-a2d8-09619cec4761 | Message: Water was detected - 4.99023 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[10:20:05 PM] Log Level: Critical | $22a1dfd5-e61a-4535-a4df-ee897f193fba | Message: Water was detected - 5 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[10:20:07 PM] Log Level: Critical | $f7a7fc29-5d05-425b-b752-8bc3dacd15e8 | Message: Water was detected - 2.08984 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[10:20:14 PM] Log Level: Critical | $81bfab41-ccfd-4d95-93c2-b0c64c5b2eba | Message: Water was detected - 1.64062 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[10:20:23 PM] Log Level: Critical | $d12ccf53-a309-46a0-af5e-722d1d2fbec1 | Message: Water was detected - 0.732422 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[10:20:29 PM] Log Level: Critical | $7ae54f01-b2bd-4194-9581-d5e7ac720e76 | Message: Water was detected - 3.83301 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[10:28:32 PM] Log Level: Critical | $b9da2be9-26db-45a6-8bab-66cad1268606 | Message: Water was detected - 4.81445 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[10:28:35 PM] Log Level: Critical | $07a3a2cc-773e-43d2-be6e-12a27bcd4242 | Message: Water was detected - 5 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[10:34:44 PM] Log Level: Critical | $2c8dee71-1dd9-4ea7-89e2-e208073cfca2 | Message: Water was detected - 4.98047 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[10:34:47 PM] Log Level: Critical | $5894f9e9-03f2-4fc5-9872-c2ee557a39fc | Message: Water was detected - 5 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[10:34:49 PM] Log Level: Critical | $c9b80fad-1cb1-436c-b626-8a5ac837b973 | Message: Water was detected - 5 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[10:35:33 PM] Log Level: Critical | $82ae4bb9-8e0e-42e1-a32a-c197c50b313b | Message: Water was detected - 5 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[10:35:35 PM] Log Level: Critical | $d52ebe2e-920a-45f1-8b09-d7c67aadd182 | Message: Water was detected - 5 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[10:35:48 PM] Log Level: Critical | $803b9f2c-6e1c-419e-bc0c-5052f6979d53 | Message: Water was detected - 1.4502 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[10:35:53 PM] Log Level: Critical | $dc2e1222-3d12-455d-ab18-f0c9f9ad37fd | Message: Water was detected - 4.55566 | Local IP: 192.168.0.14 | External IP: 212.80.46.166


[10:56:31 PM] Log Level: Critical | $8a33510a-b775-4bb5-8091-879d8e1a252f | Message: Water was detected - 4.57031 | Local IP: 192.168.0.12 | External IP: 212.80.46.166


[10:56:33 PM] Log Level: Critical | $dc13cba7-c07b-458d-836a-e1ede1a94544 | Message: Water was detected - 5 | Local IP: 192.168.0.12 | External IP: 212.80.46.166


